StartDate,ExitDate,Title,Supervisor,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,Division,DOB,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating,Employee ID,Survey Date,Engagement Score,Satisfaction Score,Work-Life Balance Score,Training Date,Training Program Name,Training Type,Training Outcome,Location,Trainer,Training Duration(Days),Training Cost,Attrition
2019-07-18,2021-10-01,Area Sales Manager,Tammy Conner,EW,Future Start,Full-Time,Zone C,Part-Time,Resignation,Base scene central unit per argue. Might last of.,Sales,General - Con,1997-12-29,CO,Foreman,Male,78046,Hispanic,Married,Needs Improvement,1,3461,2023-04-24,1,4,4,2023-01-05,Technical Skills,External,Completed,Taylorland,Micheal Munoz,2,948.43,True
2018-09-13,2021-09-17,Area Sales Manager,Brianna Mathews,MSC,Active,Contract,Zone A,Full-Time,Involuntary,Yourself book budget product.,Sales,Field Operations,1942-08-09,CO,Coordinator,Male,27270,Hispanic,Divorced,Needs Improvement,3,3462,2022-11-08,3,3,1,2023-07-19,Project Management,External,Completed,Erinville,Stacey Esparza,1,320.01,True
2020-04-30,2021-07-18,Area Sales Manager,Jessica Peters,TNS,Active,Part-Time,Zone A,Temporary,Retirement,Paper can score else investment.,Sales,Field Operations,1951-06-21,IN,Tower Hand,Male,12703,Hispanic,Single,Fully Meets,1,3463,2022-09-18,4,3,4,2022-08-29,Technical Skills,Internal,Incomplete,Harperchester,Heather Edwards,4,926.19,True
2018-12-03,2022-09-09,Area Sales Manager,Mark Harris,PYZ,Active,Contract,Zone B,Full-Time,Involuntary,Stuff different color how.,Sales,Shop (Fleet),1998-06-17,MA,Mechanic,Male,66835,Black,Widowed,Needs Improvement,5,3464,2022-12-29,2,5,3,2022-11-13,Customer Service,External,Passed,Trevorside,Michaela Wright,2,290.47,True
2021-11-08,,Area Sales Manager,Elizabeth Tapia,WBL,Active,Full-Time,Zone B,Full-Time,Unk,,Sales,General - Con,1962-01-07,MA,Flagger,Male,66150,Asian,Divorced,Needs Improvement,3,3465,2023-05-19,5,4,3,2023-06-04,Communication Skills,External,Incomplete,Port Alexaborough,Trevor Perry,1,706.1,False
2022-04-13,2023-04-10,Area Sales Manager,Jon Holden,PYZ,Active,Part-Time,Zone C,Full-Time,Retirement,Sign figure employee card education.,IT/IS,Aerial,1979-01-26,KY,Supervisor,Male,64288,Other,Married,Exceeds,4,3466,2023-08-04,1,3,4,2022-12-07,Customer Service,External,Passed,West Angelaside,Erika Jackson,3,447.66,True
2020-05-06,,Area Sales Manager,Michael Odonnell,WBL,Active,Contract,Zone A,Part-Time,Unk,,Sales,Fielders,1987-05-14,KY,Engineer,Female,94333,Asian,Divorced,Exceeds,1,3467,2023-06-27,4,3,2,2023-02-24,Technical Skills,Internal,Incomplete,Mariabury,Regina Robinson,1,759.7,False
2019-09-09,,Area Sales Manager,Andres Parker,NEL,Active,Contract,Zone B,Temporary,Unk,,Sales,Wireline Construction,1998-04-26,KY,Foreman,Female,45453,Black,Single,Fully Meets,4,3468,2023-02-05,3,1,3,2023-05-10,Customer Service,Internal,Completed,Patelport,Michael Garcia,3,180.63,False
2020-07-29,2023-01-05,Area Sales Manager,James Berry,PL,Future Start,Contract,Zone B,Full-Time,Resignation,Right cut matter arrive difference.,Sales,Field Operations,1945-02-21,TX,Driver,Female,81905,Asian,Divorced,Needs Improvement,3,3469,2023-08-01,5,5,1,2022-08-15,Communication Skills,Internal,Failed,North Jeanetteville,Lisa Barnes,2,552.54,True
2018-11-14,2019-10-28,Area Sales Manager,Gail Ali,BPC,Future Start,Contract,Zone C,Part-Time,Retirement,Speak professor statement result.,Sales,Field Operations,1997-05-31,TX,Technician,Female,12491,Black,Married,Needs Improvement,3,3470,2023-05-06,1,2,3,2022-09-26,Project Management,External,Passed,New Molly,Katie Wong MD,1,986.96,True
2020-02-29,,Area Sales Manager,John Marshall,CCDR,Active,Part-Time,Zone C,Temporary,Unk,,Sales,Field Operations,1967-01-03,TX,Foreman,Male,64350,Asian,Married,Fully Meets,4,3471,2023-04-30,2,4,1,2023-03-23,Customer Service,External,Passed,West Jonathan,Frank Joyce,3,109.98,False
2023-01-15,,Area Sales Manager,Jessica Chang,SVG,Active,Contract,Zone C,Full-Time,Unk,,Sales,Project Management - Con,1982-01-12,TX,Director,Male,74124,Other,Married,Exceeds,4,3472,2023-07-26,5,5,4,2023-02-12,Technical Skills,External,Completed,Port Karatown,Matthew Meyer,5,537.24,False
2023-06-29,,Area Sales Manager,Desiree Vang,EW,Active,Part-Time,Zone A,Temporary,Unk,,Sales,Shop (Fleet),1950-10-01,CO,Manager,Male,33379,Hispanic,Widowed,Exceeds,2,3473,2023-06-28,3,4,4,2022-12-06,Communication Skills,External,Failed,Wagnertown,Frank Harris,5,789.99,False
2020-03-09,,Area Sales Manager,Andrew Goodman,MSC,Active,Full-Time,Zone A,Temporary,Unk,,Sales,Catv,1965-12-16,CO,Laborer,Male,34481,Other,Divorced,Fully Meets,2,3474,2023-05-09,3,1,2,2022-09-01,Customer Service,External,Incomplete,New Michaelport,Justin Rodriguez,5,155.51,False
2021-09-21,2023-04-13,Area Sales Manager,Rebecca Simpson,TNS,Active,Full-Time,Zone C,Temporary,Resignation,Expert challenge education air none money wide.,Sales,General - Con,1957-12-25,IN,Foreman,Male,90406,Asian,Widowed,Fully Meets,2,3475,2023-01-25,4,3,4,2022-11-02,Customer Service,Internal,Passed,South Taylorfurt,Jenna Sherman,2,648.76,True
2023-06-12,2023-07-06,Area Sales Manager,Samantha Cardenas,PYZ,Active,Part-Time,Zone A,Temporary,Voluntary,Buy become improve guess business know.,Sales,Fielders,1945-06-20,MA,Engineer,Male,95774,Asian,Divorced,Needs Improvement,2,3476,2023-03-03,5,5,3,2022-11-18,Leadership Development,Internal,Incomplete,Stephanieshire,Dr. Margaret Allen,4,533.5,True
2019-04-07,,Area Sales Manager,Nancy Johnson,PYZ,Active,Part-Time,Zone A,Full-Time,Unk,,IT/IS,Aerial,1969-12-03,KY,Laborer,Female,16058,Asian,Widowed,Needs Improvement,2,3477,2022-12-05,1,2,1,2022-11-07,Leadership Development,External,Failed,New Cynthia,Kristin Terry,5,429.48,False
2018-09-17,2019-01-09,Area Sales Manager,Richard Hodges,WBL,Active,Full-Time,Zone C,Temporary,Resignation,Read family dark scene scene guess.,Sales,Wireline Construction,1957-10-10,KY,Groundman,Female,45149,Hispanic,Married,Fully Meets,2,3478,2022-11-29,3,4,1,2022-10-05,Technical Skills,External,Incomplete,Port Matthew,Daniel Solomon,1,526.74,True
2022-08-02,2023-04-02,Area Sales Manager,Madison Wilson,NEL,Active,Contract,Zone A,Part-Time,Involuntary,Somebody great could yet.,Sales,Project Management - Con,1962-05-17,TX,Technician,Female,96336,Hispanic,Widowed,Fully Meets,2,3479,2022-11-03,4,4,4,2023-01-18,Communication Skills,Internal,Passed,Stephanieburgh,Michael Dixon,3,443.45,True
2022-09-08,2022-10-16,Area Sales Manager,Eric King,PL,Future Start,Full-Time,Zone C,Temporary,Retirement,View vote contain within fight cup party war.,Sales,Catv,1946-08-09,TX,Supervisor,Female,75671,Black,Widowed,Fully Meets,1,3480,2023-07-25,1,5,3,2023-03-02,Leadership Development,External,Failed,North Amyfurt,Robert Hill,1,887.15,True
2019-03-07,2021-05-31,Area Sales Manager,Brandon Harris,BPC,Future Start,Full-Time,Zone C,Part-Time,Voluntary,Buy house certain wrong research chair.,Sales,Wireline Construction,1965-12-11,TX,Splicer,Male,61149,Other,Widowed,Fully Meets,4,3481,2023-03-02,5,2,4,2023-05-29,Technical Skills,External,Incomplete,East Charleston,Glenda Ryan,5,758.95,True
2019-10-29,2021-02-07,Area Sales Manager,Matthew Flores,CCDR,Future Start,Full-Time,Zone A,Temporary,Resignation,Miss onto none our discussion year.,Sales,Catv,1990-02-11,TX,Lineman,Male,57302,Asian,Divorced,Needs Improvement,2,3482,2022-10-22,4,5,5,2023-03-03,Technical Skills,Internal,Failed,Saraland,Jennifer Brown,1,627.11,True
2021-09-26,,Area Sales Manager,Krystal Hamilton,SVG,Active,Part-Time,Zone B,Temporary,Unk,,Sales,Project Management - Con,1964-06-19,CO,Coordinator,Male,42605,Asian,Widowed,Fully Meets,1,3483,2022-10-23,1,4,5,2022-08-10,Project Management,External,Passed,Manuelfort,Cody Adams,4,111.96,False
2018-08-29,,Area Sales Manager,Amber Hernandez,EW,Active,Part-Time,Zone B,Full-Time,Unk,,Sales,General - Con,1995-07-18,CO,Model Assistant,Male,64036,Other,Single,Fully Meets,4,3484,2022-09-16,1,2,4,2023-06-27,Project Management,External,Passed,Johnsonport,Justin Barton,1,795.7,False
2021-10-26,,Area Sales Manager,Patricia Smith,MSC,Active,Contract,Zone C,Full-Time,Unk,,Sales,Field Operations,1994-08-22,CO,Laborer,Male,23173,White,Widowed,Fully Meets,5,3485,2023-05-07,2,1,3,2022-08-07,Customer Service,Internal,Passed,Port Bradley,Michael Chase,2,796.45,False
2022-10-31,2023-06-08,Area Sales Manager,Victoria Krause,TNS,Active,Part-Time,Zone C,Temporary,Involuntary,Nature finish modern push former American.,Sales,Fielders,1990-11-14,IN,Engineer,Male,19665,Other,Widowed,Fully Meets,4,3486,2022-08-27,3,1,1,2023-07-23,Project Management,Internal,Completed,Lake Angelafort,Daniel Jones,5,812.59,True
2023-03-15,,Area Sales Manager,Jesse Hunt,BPC,Active,Contract,Zone B,Part-Time,Unk,,Sales,General - Sga,1994-02-01,KY,Administrator,Female,41161,Other,Divorced,Fully Meets,4,3487,2022-09-23,5,4,1,2023-07-17,Project Management,External,Completed,Lake Lindsayton,Duane Trevino,5,132.97,False
2022-09-09,,Area Sales Manager,Shane Jones,CCDR,Active,Contract,Zone B,Full-Time,Unk,,Sales,Wireline Construction,1997-11-12,KY,Lineman,Female,52499,Asian,Single,Fully Meets,2,3488,2023-03-11,1,5,1,2022-09-20,Communication Skills,Internal,Completed,West Cynthia,Terrence Hopkins,1,308.19,False
2022-03-04,,Area Sales Manager,Jessica Murphy,EW,Active,Part-Time,Zone A,Temporary,Unk,,Sales,Field Operations,1953-05-02,TX,Laborer,Female,25634,Black,Divorced,Fully Meets,2,3489,2022-12-03,2,4,5,2023-07-02,Project Management,Internal,Passed,Isabelchester,Brittany Savage,1,131.41,False
2019-02-11,,Area Sales Manager,Crystal Wallace,MSC,Active,Part-Time,Zone A,Part-Time,Unk,,Sales,General - Sga,1991-07-10,TX,Director,Female,37965,Hispanic,Divorced,Fully Meets,2,3490,2022-10-12,5,3,2,2023-07-19,Technical Skills,Internal,Failed,Lake Robertberg,Samantha Williams,3,389.59,False
2021-01-26,,Area Sales Manager,Tina Nelson,NEL,Active,Contract,Zone B,Full-Time,Unk,,Sales,Field Operations,1973-06-02,TX,Driver,Male,39504,White,Widowed,Fully Meets,5,3491,2022-09-10,3,4,5,2023-07-14,Project Management,Internal,Incomplete,Petersville,Stephen Blair,3,442.56,False
2019-11-26,,Area Sales Manager,Ashley Smith,PL,Active,Full-Time,Zone C,Full-Time,Unk,,Sales,General - Con,1993-01-08,CO,Clerk,Male,31676,Asian,Married,Fully Meets,1,3492,2023-01-13,1,5,5,2022-09-06,Project Management,Internal,Incomplete,Christinahaven,Amanda Greene,3,327.66,False
2019-07-15,,Area Sales Manager,Eric Taylor,PYZ,Active,Full-Time,Zone C,Full-Time,Unk,,Sales,Project Management - Con,1984-04-17,CO,Project Manager,Male,28784,Asian,Widowed,Fully Meets,5,3493,2023-04-02,3,1,5,2023-02-19,Project Management,Internal,Completed,Joelmouth,Cathy Fleming,3,400.95,False
2020-06-18,,Area Sales Manager,Jacob Snyder,SVG,Active,Contract,Zone B,Full-Time,Unk,,Sales,General - Con,1994-02-08,CO,Technician,Male,90983,Black,Single,Fully Meets,4,3494,2022-12-15,1,2,1,2023-02-11,Technical Skills,Internal,Completed,Victoriahaven,James Perez,2,910.45,False
2023-06-22,2023-07-22,Area Sales Manager,Daniel Cabrera,TNS,Active,Part-Time,Zone B,Temporary,Retirement,Night company image able suggest.,Sales,Wireline Construction,1993-01-27,IN,Laborer,Male,1115,Other,Married,Fully Meets,4,3495,2022-09-08,4,3,5,2022-12-21,Customer Service,External,Passed,Port Andrew,Christian Higgins,1,701.55,True
2021-12-02,,Area Sales Manager,Barbara Garcia,WBL,Active,Contract,Zone A,Part-Time,Unk,,Sales,General - Sga,1964-09-19,CA,Administrator,Male,72233,Other,Widowed,Fully Meets,5,3496,2022-12-26,1,3,2,2023-02-16,Project Management,Internal,Incomplete,Port Ashleybury,Monica Keller,1,806.87,False
2021-12-08,,Area Sales Manager,Kendra Murray,TNS,Active,Part-Time,Zone C,Temporary,Unk,,Sales,Project Management - Con,1981-02-18,OR,Lineman,Female,58210,Hispanic,Widowed,Fully Meets,1,3497,2022-09-18,2,3,4,2023-03-11,Communication Skills,Internal,Completed,Kelseyborough,Sydney Johnson,2,184.21,False
2023-04-26,2023-06-22,Area Sales Manager,Peter Harvey,PYZ,Active,Full-Time,Zone A,Full-Time,Voluntary,About allow article. For gas player magazine.,Sales,General - Sga,1998-10-17,KY,Laborer,Female,36087,White,Widowed,Fully Meets,2,3498,2023-06-19,3,3,4,2023-05-30,Project Management,External,Failed,Yorkport,Amy Clark,1,208.43,True
2018-09-25,2021-12-20,Area Sales Manager,Patrick Daniel,WBL,Active,Part-Time,Zone C,Temporary,Involuntary,Seem hand dog. Us six beyond place fund well.,Sales,Field Operations,1971-01-16,KY,Technician,Female,61457,Asian,Widowed,Fully Meets,5,3499,2023-07-21,5,3,5,2023-01-30,Technical Skills,Internal,Incomplete,East Bradley,Angela Lee,2,762.45,True
2018-11-20,2020-06-21,Area Sales Manager,Bryan Douglas,NEL,Active,Full-Time,Zone B,Part-Time,Voluntary,Game hour boy not write somebody owner.,Sales,Shop (Fleet),2000-02-25,TX,Mechanic,Female,80424,White,Divorced,Fully Meets,1,3500,2023-05-14,4,1,4,2023-06-15,Leadership Development,External,Incomplete,Smithchester,Larry Morales,4,779.79,True
2020-08-30,2022-08-30,Area Sales Manager,Destiny Hopkins,PL,Future Start,Part-Time,Zone A,Part-Time,Retirement,Worker medical commercial participant tough leg.,Sales,General - Con,1959-04-19,TX,Technician,Male,6240,Other,Widowed,Fully Meets,4,3501,2023-02-20,2,3,4,2023-06-09,Project Management,External,Passed,South Kaylachester,Troy Adams,3,135.95,True
2019-10-01,,Area Sales Manager,Angela Morris,BPC,Active,Full-Time,Zone C,Temporary,Unk,,Sales,Splicing,1976-06-29,TX,Electrician,Male,49914,White,Married,Fully Meets,1,3502,2023-04-24,5,3,5,2023-01-03,Customer Service,External,Incomplete,East Karlton,Bryan Kennedy PhD,3,427.12,False
2022-01-20,,Area Sales Manager,Erica Franklin,CCDR,Active,Part-Time,Zone A,Temporary,Unk,,Sales,Project Management - Con,1951-07-27,CO,Manager,Male,71319,Other,Single,Fully Meets,4,3503,2023-01-28,5,2,3,2023-02-20,Technical Skills,Internal,Completed,East Brandonview,Lisa Shelton,4,996.35,False
2021-10-10,,Area Sales Manager,Gabriela Orr,SVG,Active,Full-Time,Zone B,Part-Time,Unk,,Sales,General - Con,1980-08-23,CO,Laborer,Male,27992,Hispanic,Married,Fully Meets,2,3504,2023-04-20,3,4,3,2023-06-02,Communication Skills,Internal,Completed,Brittneyside,Linda Pena,5,963.23,False
2020-08-29,,Area Sales Manager,Michael Wilkins,EW,Active,Contract,Zone B,Temporary,Unk,,Sales,Field Operations,1943-07-24,IN,Groundman,Male,72324,Hispanic,Widowed,Fully Meets,1,3505,2022-11-10,4,3,2,2022-09-13,Leadership Development,Internal,Failed,West Jamesburgh,Sophia Roberts,5,260.97,False
